device_id,accuracy,f1_score,roc_auc_score,max_fault_probability
2024,0.998772683439993,0.8653846153846154,0.9983245654882515,0.98075885
2024,0.9975369458128078,0.7586206896551724,0.9988235294117648,0.9687592
2024,0.9979884672120155,0.625,0.9931964124456707,0.89351934
2024,0.9991238038477019,0.3824451410658307,0.9982467733697951,0.98430103
2024,0.997397298818233,0.8489795918367347,0.9995090214718123,0.98868996
2024,0.9969313488799866,0.7952802359882006,0.997236929878945,0.998992
2024,0.9989921612541993,0.9230769230769231,0.9996111878545403,0.98876244
2024,0.9990294909523512,0.9350104821802935,0.9998327491481074,0.9977247
2024,0.9958703101660662,0.7044025157232704,0.9903320131295229,0.91953856
2024,0.9988876529477196,0.25,0.9982371497494896,0.63508004
2024,0.9935919055649242,0.0,0.9681039987229628,0.5930796
2024,0.9942007973903588,0.0,0.9807051782461618,0.57038015
2024,0.9971797029590375,0.7789661319073083,0.998313506543435,0.9886805
2024,0.9932122857627694,0.42857142857142855,0.9819111776447105,0.93133956
2024,0.9983069977426636,0.8983050847457628,0.9990916335232962,0.98402417
2024,0.9979936689107851,0.7982062780269058,0.9978148275477121,0.98525435
2024,0.9983034811262276,0.6976744186046512,0.9991792459387436,0.9796026
2024,0.9971861106421296,0.7572815533980582,0.998303804242746,0.97677076
2024,0.9990595611285267,0.88,0.9990166771554437,0.92998534
2024,0.9955819881053526,0.6153846153846154,0.9969725913436019,0.9851761
2024,0.9971325686849827,0.5057471264367817,0.9955440743713215,0.91384995
2024,0.9950803542144966,0.4,0.9820008064811759,0.7058442
2024,0.9991727091342645,0.903954802259887,0.9993051691049891,0.99942183
2024,0.9945942247160258,0.5325443786982249,0.9952131517711503,0.9734493
2024,0.9978728890034807,0.7401574803149606,0.9972071087560836,0.9361243
2024,0.9968372093023256,0.6222222222222222,0.9975732343932007,0.9769927
2024,0.9943796121503347,0.5801282051282052,0.9950327436252802,0.86687374
2024,0.997172236503856,0.7785234899328859,0.9990506659524436,0.9614135
2024,0.9993939007273192,0.962671905697446,0.9999269901516953,0.99928063
2024,0.9917799027008891,0.3466666666666667,0.9939822524718622,0.8560969
2024,0.9940554474196434,0.49777777777777776,0.9942764330571996,0.9604385
2024,0.9980753753018161,0.8122866894197952,0.9989802416736621,0.9703673
2024,0.9951474315386042,0.43727598566308246,0.9921322923795367,0.8841817
2024,0.994982378591482,0.6025236593059937,0.9966647845304306,0.876875
2024,0.996530715857167,0.6434782608695652,0.9961139933095197,0.95684683
2024,0.997683251044436,0.46017699115044247,0.9969107142857142,0.97917545
